squareft,bedroom,bathroom,wd,dish,pets,walkscore,price
547,0,1,1,0,1,94,1552
502,0,1,1,0,1,94,1562
570,0,1,1,0,1,94,1565
579,0,1,1,0,1,94,1617
558,0,1,1,0,1,94,1697
578,0,1,1,0,1,94,1705
773,1,1,1,0,1,94,1880
640,1,1,1,0,1,94,1907
722,1,1,1,0,1,94,1912
621,1,1,1,0,1,94,1921
684,1,1,1,0,1,94,1944
827,1,1,1,0,1,94,1975
699,1,1,1,0,1,94,1999
738,1,1,1,0,1,94,2015
781,1,1,1,0,1,94,2022
779,1,1,1,0,1,94,2063
840,1,1,1,0,1,94,2067
819,1,1,1,0,1,94,2097
788,1,1,1,0,1,94,2121
860,1,1,1,0,1,94,2177
920,1,1,1,0,1,94,2277
826,2,2,1,0,1,94,2417
804,2,2,1,0,1,94,2540
877,2,2,1,0,1,94,2582
888,2,2,1,0,1,94,2640
962,2,2,1,0,1,94,2737
1001,2,2,1,0,1,94,2847
882,2,2,1,0,1,94,2972
1107,2,2,1,0,1,94,2987
935,2,2,1,0,1,94,3032
594,1,1,1,1,1,97,2098
770,1,1,1,1,1,97,2513
784,1,1,1,1,1,97,2648
789,1,1,1,1,1,97,2110
672,1,1,1,1,1,97,2120
1038,2,2,1,1,1,97,2983
873,2,2,1,1,1,99,2590
651,1,1,1,0,1,94,1495
552,1,1,1,0,1,94,1550
551,1,1,1,0,1,94,1590
652,1,1,1,0,1,94,1710
625,1,1,1,0,1,94,1715
635,1,1,1,0,1,94,1770
665,1,1,1,0,1,94,1775
718,1,1,1,0,1,94,1835
702,1,1,1,0,1,94,1880
621,1,1,1,0,1,94,1905
782,1,1,1,0,1,94,1945
741,1,1,1,0,1,94,1970
775,1,1,1,0,1,94,1975
785,1,1,1,0,1,94,1995
815,1,1,1,0,1,94,2000
824,1,1,1,0,1,94,2050
832,1,1,1,0,1,94,2095
807,1,1,1,0,1,94,2597
978,2,2,1,0,1,94,2605
1044,2,2,1,0,1,94,2646
960,2,2,1,0,1,94,2675
1008,2,2,1,0,1,94,2782
1009,2,2,1,0,1,94,2818
1041,2,2,1,0,1,94,2843
982,2,2,1,0,1,94,2953
616,0,1,1,0,1,95,1711
768,1,1,1,0,1,95,2342
947,1,1.5,1,0,1,95,2400
1411,2,2.5,1,0,1,95,2743
1080,2,2,1,0,1,95,2976
450,0,1,1,1,1,94,1369
510,0,1,1,1,1,94,1709
660,1,1,1,1,1,94,1629
875,2,1.5,1,1,1,94,2109
640,1,1,1,1,1,94,1579
775,1,1,1,1,1,94,2029
825,2,1,1,1,1,94,1999
541,0,1,1,1,1,97,1858
899,1,1,1,1,1,97,2792
835,2,1,1,1,1,97,2610
1226,2,2,1,1,1,97,3889
395,0,1,1,1,1,97,1299
398,0,1,1,1,1,97,1339
471,0,1,1,1,1,97,1448
504,0,1,1,1,1,97,1743
540,0,1,1,1,1,97,1902
566,1,1,1,1,1,97,1630
604,1,1,1,1,1,97,1630
628,1,1,1,1,1,97,1911
610,1,1,1,1,1,97,1957
663,1,1,1,1,1,97,1957
785,1,1,1,1,1,97,2092
838,2,1,1,1,1,97,2307
874,2,1,1,1,1,97,2570
1049,2,2,1,1,1,97,3360
594,0,1,1,1,1,66,1525
710,1,1,1,1,1,66,1528
810,1,1,1,1,1,66,1820
430,0,1,1,1,1,66,1401
1100,2,2,1,1,1,66,2295
960,2,2,1,1,1,66,2400
710,1,1,1,1,1,69,1375
770,1,1,1,1,1,69,1445
1155,2,2,1,1,1,69,1785
685,1,1,1,1,1,69,1395
950,1,1,1,1,1,69,1595
1855,2,2,1,1,1,69,2645
435,0,1,1,1,1,55,1373
510,1,1,1,1,1,55,1555
816,2,1,1,1,1,55,1956
770,2,2,1,1,1,55,2251
575,1,1,1,1,1,94,1656
620,1,1,1,1,1,94,1789
600,1,1,1,1,1,94,1828
817,2,1,1,1,1,94,2359
750,2,1,1,1,1,94,2475
915,2,2,1,1,1,94,2523
416,0,1,1,1,1,97,1360
755,1,1.5,1,1,1,97,1650
686,1,1,1,1,1,97,1660
731,1,1,1,1,1,97,1670
857,2,1,1,1,1,97,2180
1104,2,1,1,1,1,97,2410
436,0,1,1,1,0,67,1464
816,1,1,1,1,0,67,2541
873,1,1.5,1,1,0,67,3122
669,1,1,1,1,0,67,3168
1090,1,1.5,1,1,0,67,3330
1058,2,2,1,1,0,67,2746
1208,2,2,1,1,0,67,3621
443,0,1,1,0,1,95,1429
570,0,1,1,0,1,95,1553
489,1,1,1,0,1,95,1526
719,1,1,1,0,1,95,1887
687,1,1,1,0,1,95,1921
756,1,1,1,0,1,95,1962
1131,2,2,1,0,1,95,2753
1070,2,2,1,0,1,95,2502
710,1,1,1,0,1,95,1865
548,0,1,1,0,1,95,1535
497,1,1,1,0,1,95,1529
932,2,2,1,0,1,95,2598
518,0,1,1,0,1,95,1378
802,1,1,1,0,1,95,2055
392,0,1,0,1,0,97,1269
580,1,1,0,1,0,97,1399
634,1,1,0,1,0,97,1519
585,1,1,0,1,0,97,1549
658,1,1,0,1,0,97,1549
685,1,1,0,1,0,97,1679
891,2,1,0,1,0,97,2199
684,1,1,1,1,1,82,1599
708,1,1,1,1,1,82,1599
644,1,1,1,1,1,82,1650
815,2,2,1,1,1,82,1895
648,1,1,0,1,1,74,1628
726,1,1,0,1,1,74,1643
715,1,1,0,1,1,74,1698
1001,2,2,0,1,1,74,2095
861,2,1,0,1,1,74,2283
579,1,1,1,1,1,93,1350
763,1,1,1,1,1,93,1525
639,1,1,1,1,1,93,1585
444,0,1,1,1,1,93,1215
1171,2,2,1,1,1,93,1995
820,2,1,1,1,1,76,2195
600,1,1,1,1,1,76,1495
600,1,1,1,1,1,76,1595
482,0,1,1,1,1,86,1371
556,0,1,1,1,1,86,1505
850,0,1,1,1,1,86,1830
677,1,1,1,1,1,86,1599
486,0,1,1,1,1,72,1275
824,1,1,1,1,1,72,1920
451,0,1,1,1,1,72,1200
435,0,1,1,1,1,72,1223
407,0,1,1,1,1,72,1230
447,0,1,1,1,1,72,1230
620,1,1,1,1,1,72,1330
463,1,1,1,1,1,72,1332
477,1,1,1,1,1,72,1338
476,1,1,1,1,1,72,1350
640,1,1,1,1,1,72,1350
565,1,1,1,1,1,72,1358
573,1,1,1,1,1,72,1393
661,1,1,1,1,1,72,1399
529,1,1,1,1,1,72,1403
530,1,1,1,1,1,72,1413
528,1,1,1,1,1,72,1413
502,1,1,1,1,1,72,1425
476,1,1,1,1,1,72,1450
650,1,1,1,1,1,72,1481
657,1,1,1,1,1,72,1568
690,1,1,1,1,1,72,1575
675,1,1,1,1,1,72,1588
673,1,1,1,1,1,72,1622
565,1,1,1,1,1,72,1635
747,1,1,1,1,1,72,1685
706,1,1,1,1,1,72,1758
880,1,1,1,1,1,72,1920
1052,1,1,1,1,1,72,1949
1054,2,2,1,1,1,72,2057
407,0,1,1,0,1,94,1445
757,1,1,1,0,1,94,1860
498,1,1,1,1,1,66,1399
595,1,1,1,1,1,66,1599
682,1,1,1,1,1,66,1699
275,0,1,0,0,1,87,870
520,1,1,0,0,1,87,1350
515,1,1,0,0,1,92,1528
395,0,1,0,0,1,92,1050
735,2,1,0,0,1,92,1700
845,2,2,0,0,1,92,1800
980,2,1,1,1,1,95,1895
537,0,1,1,0,1,92,1675
637,1,1,1,0,1,92,1850
773,1,1,1,0,1,92,2050
1045,1,1,1,0,1,92,2605
648,1,1,1,0,1,92,2400
974,2,2,1,0,1,92,3000
531,0,1,1,0,1,92,1525
917,2,2,1,0,1,92,2415
443,0,1,1,0,0,80,1075
560,1,1,1,0,0,80,1750
517,0,1,1,0,1,95,1414
571,1,1,1,0,1,95,1438
675,1,1.5,1,0,1,95,2273
